Root node created. Lower Bound: 96
Path: 0 8 1 7 | Lower Bound: 46
Path: 0 8 1 9 | Lower Bound: 58
Path: 0 7 3 1 | Lower Bound: 40
Path: 0 7 3 2 | Lower Bound: 38
Path: 0 7 3 4 | Lower Bound: 46
Path: 0 7 3 5 | Lower Bound: 45
Path: 0 7 3 6 | Lower Bound: 50
Path: 0 7 3 8 | Lower Bound: 47
Path: 0 7 3 9 | Lower Bound: 47
Path: 0 4 1 | Lower Bound: 40
Path: 0 4 2 | Lower Bound: 37
Path: 0 4 3 | Lower Bound: 46
Path: 0 4 5 | Lower Bound: 36
Path: 0 4 6 | Lower Bound: 42
Path: 0 4 7 | Lower Bound: 47
Path: 0 4 8 | Lower Bound: 41
Path: 0 4 9 | Lower Bound: 39
Path: 0 9 8 1 | Lower Bound: 51
Path: 0 9 8 2 | Lower Bound: 50
Path: 0 9 8 3 | Lower Bound: 42
Path: 0 9 8 4 | Lower Bound: 44
Path: 0 9 8 5 | Lower Bound: 50
Path: 0 9 8 6 | Lower Bound: 46
Path: 0 9 8 7 | Lower Bound: 52
Path: 0 3 2 1 | Lower Bound: 47
Path: 0 3 2 4 | Lower Bound: 45
Path: 0 3 2 5 | Lower Bound: 48
Path: 0 3 2 6 | Lower Bound: 52
Path: 0 3 2 7 | Lower Bound: 44
Path: 0 3 2 8 | Lower Bound: 42
Path: 0 3 2 9 | Lower Bound: 39
Path: 0 6 3 1 | Lower Bound: 39
Path: 0 6 3 2 | Lower Bound: 35
Path: 0 6 3 4 | Lower Bound: 46
Path: 0 6 3 5 | Lower Bound: 42
Path: 0 6 3 7 | Lower Bound: 43
Path: 0 6 3 8 | Lower Bound: 42
Path: 0 6 3 9 | Lower Bound: 45
Path: 0 1 8 3 2 | Lower Bound: 42
Path: 0 1 8 3 4 | Lower Bound: 49
Path: 0 1 8 3 5 | Lower Bound: 47
Path: 0 1 8 3 6 | Lower Bound: 58
Path: 0 1 8 3 7 | Lower Bound: 55
Path: 0 1 8 3 9 | Lower Bound: 52
Path: 0 6 1 2 | Lower Bound: 49
Path: 0 6 1 3 | Lower Bound: 41
Path: 0 6 1 4 | Lower Bound: 48
Path: 0 6 1 5 | Lower Bound: 48
Path: 0 6 1 7 | Lower Bound: 43
Path: 0 6 1 8 | Lower Bound: 39
Path: 0 6 1 9 | Lower Bound: 55
Path: 0 2 7 1 | Lower Bound: 52
Path: 0 2 7 3 | Lower Bound: 52
Path: 0 2 7 4 | Lower Bound: 50
Path: 0 2 7 5 | Lower Bound: 50
Path: 0 2 7 6 | Lower Bound: 44
Path: 0 2 7 8 | Lower Bound: 52
Path: 0 2 7 9 | Lower Bound: 51
Path: 0 6 8 1 | Lower Bound: 46
Path: 0 6 8 2 | Lower Bound: 55
Path: 0 6 8 3 | Lower Bound: 40
Path: 0 6 8 4 | Lower Bound: 43
Path: 0 6 8 5 | Lower Bound: 46
Path: 0 6 8 7 | Lower Bound: 50
Path: 0 6 8 9 | Lower Bound: 50
Path: 0 5 1 | Lower Bound: 55
Path: 0 5 2 | Lower Bound: 51
Path: 0 5 3 | Lower Bound: 45
Path: 0 5 4 | Lower Bound: 39
Path: 0 5 6 | Lower Bound: 48
Path: 0 5 7 | Lower Bound: 51
Path: 0 5 8 | Lower Bound: 58
Path: 0 5 9 | Lower Bound: 49
Path: 0 8 6 1 | Lower Bound: 47
Path: 0 8 6 2 | Lower Bound: 52
Path: 0 8 6 3 | Lower Bound: 46
Path: 0 8 6 4 | Lower Bound: 51
Path: 0 8 6 5 | Lower Bound: 36
Path: 0 8 6 7 | Lower Bound: 49
Path: 0 8 6 9 | Lower Bound: 42
Path: 0 9 1 2 | Lower Bound: 51
Path: 0 9 1 3 | Lower Bound: 48
Path: 0 9 1 4 | Lower Bound: 55
